"longitude","latitude"
132.067863078,-11.348591108
132.156195933,-11.38386466
132.1914,-11.1539
132.198693182,-11.224981468
132.201197501,-11.231920922
132.27432,-11.22064
130.0247,-11.7925
130.167883363,-11.815276387
130.18773,-11.53942
130.3564,-11.7081
130.511209171,-11.783597032
130.536206633,-11.515275336
130.901204231,-11.748602063
130.93453345,-11.84859929
130.93453345,-11.84859929
133.101187641,-11.565292075
131.0333,-12.2167
131.033333333333,-12.2166666666667
131.033333333333,-12.2166666666667
131.044261074,-12.226376746
131.044261074,-12.226376746
131.117876675,-12.33192872
131.117876675,-12.33192872
132.317868189,-12.398594267
132.967864688,-12.415260231
134.884506255,-12.098578074
134.90924,-12.36316
135.567833075,-12.031909275
135.989770515,-12.141072053
136.359463036,-12.281899158
136.4167,-12.3333
136.701159634,-12.365238066
136.856438301,-12.40939833
136.88925748,-12.24966707
130.8,-12.5
130.9667,-12.4833
130.967874208,-12.481929607
130.989833333,-12.482083333
131.001206331,-12.498594348
131.0178742,-12.5152624
131.251208348,-12.631925612
131.584537852,-12.881922398
132.298395235,-12.562283678
132.316666666667,-12.5166666666667
132.325370669,-12.538027078
132.334527989,-12.531920814
132.347160262,-12.738031831
132.417865408,-12.598588078
132.484529593,-12.48192231
132.501195835,-12.498593562
132.701198415,-12.848587389
132.79233,-12.82428
132.797458748,-12.820784729
135.467839535,-12.881904238
135.901165269,-12.531901775
132.3333,-13.5333
142.1344,-13.5856
143.38138889,-14.79888889
143.839166666667,-14.6766666666667
143.8391666667,-14.6766666662
143.8392,-14.6767
142.17444444,-15.46166667
143.5091969062,-15.0236118198
143.689799,-15.047343
143.7758608664,-15.1236107962
143.7758611696,-15.2569435156
144.83942594,-15.10040244
143.5425311983,-15.5902758912
144.0425259819,-15.7236074975
144.525,-15.6416666662
144.9808333333,-15.6611111106
145.0180150066,-15.7452718629
145.028,-15.697
145.0288480945,-15.6956054027
145.030014755,-15.6972165025
142.7042,-16.5486
142.70421156,-16.5486677495
143.0344,-16.4933
143.9667,-17.0167
143.9667,-17.0167
143.9758635096,-17.0236022849
