"species","samplingSet","probSet","rateSet","skewSet","shiftSet","predictorsSet","regSet","priorSet","bgSet","algorithmSet","elevationSet","weightSet","rbV","rbD","rbP","modelNames","meanModelPath","sdModelPath","fullAIC","fulleval","cv.mean.train.npresence","cv.mean.train.nBackground","cv.mean.train.nTGBackground","cv.mean.train.auc","cv.mean.train.cor","cv.mean.train.pcor","cv.mean.train.boyce","cv.mean.train.auc.tg","cv.mean.train.auc.ss","cv.mean.train.auc.tg.ss","cv.mean.train.pAUC.sens0.950.8","cv.sd.train.npresence","cv.sd.train.nBackground","cv.sd.train.nTGBackground","cv.sd.train.auc","cv.sd.train.cor","cv.sd.train.pcor","cv.sd.train.boyce","cv.sd.train.auc.tg","cv.sd.train.auc.ss","cv.sd.train.auc.tg.ss","cv.sd.train.pAUC.sens0.950.8","cv.mean.test.npresence","cv.mean.test.nBackground","cv.mean.test.nTGBackground","cv.mean.test.auc","cv.mean.test.cor","cv.mean.test.pcor","cv.mean.test.boyce","cv.mean.test.auc.tg","cv.mean.test.auc.ss","cv.mean.test.auc.tg.ss","cv.mean.test.pAUC.sens0.950.8","cv.sd.test.npresence","cv.sd.test.nBackground","cv.sd.test.nTGBackground","cv.sd.test.auc","cv.sd.test.cor","cv.sd.test.pcor","cv.sd.test.boyce","cv.sd.test.auc.tg","cv.sd.test.auc.ss","cv.sd.test.auc.tg.ss","cv.sd.test.pAUC.sens0.950.8","fullevalSPS","fulleval05TP","fulleval01TP","cv.mean.test.threshold.SPS","cv.mean.test.ODP.SPS","cv.mean.test.CCR.SPS","cv.mean.test.TPR.SPS","cv.mean.test.TNR.SPS","cv.mean.test.FPR.SPS","cv.mean.test.FNR.SPS","cv.mean.test.kappa.SPS","cv.mean.test.tss.SPS","cv.sd.test.threshold.SPS","cv.sd.test.ODP.SPS","cv.sd.test.CCR.SPS","cv.sd.test.TPR.SPS","cv.sd.test.TNR.SPS","cv.sd.test.FPR.SPS","cv.sd.test.FNR.SPS","cv.sd.test.kappa.SPS","cv.sd.test.tss.SPS","cv.mean.test.threshold.TP05","cv.mean.test.ODP.TP05","cv.mean.test.CCR.TP05","cv.mean.test.TPR.TP05","cv.mean.test.TNR.TP05","cv.mean.test.FPR.TP05","cv.mean.test.FNR.TP05","cv.mean.test.kappa.TP05","cv.mean.test.tss.TP05","cv.sd.test.threshold.TP05","cv.sd.test.ODP.TP05","cv.sd.test.CCR.TP05","cv.sd.test.TPR.TP05","cv.sd.test.TNR.TP05","cv.sd.test.FPR.TP05","cv.sd.test.FNR.TP05","cv.sd.test.kappa.TP05","cv.sd.test.tss.TP05","cv.mean.test.all.foldsthreshold.SPS","cv.mean.test.all.foldsthreshold.TP05","delta.train.auc","delta.test.auc","delta.cv.mean.test.boyce","delta.cv.mean.test.pAUC.sens0.950.8","delta.auc.tg","delta.auc.ss","delta.auc.tg.ss","lo.thresh.x","lo.thresh.y","youden.thresh.x","youden.thresh.y","hi.thresh.x","hi.thresh.y","y.lo.inv","x.lo.inv","trinary.pauc"
"Dendrocnide_photinophylla","noBias",1e-06,0,1e-06,0,"all","all","none","all","maxnet","none","equalWeights",NA,NA,NA,"noBias_1e-06_0_1e-06_0_all_all_none_all_maxnet_none_equalWeights","D:/Documents_2/SD_work/Aus_BIEN4_test/BIEN_v1/Aus_demo_180412_outputs/Maxent/Dendrocnide_photinophylla/mean_noBias_1e-06_0_1e-06_0_all_all_none_all_maxnet_none_equalWeights.tif","D:/Documents_2/SD_work/Aus_BIEN4_test/BIEN_v1/Aus_demo_180412_outputs/MaxentSD/Dendrocnide_photinophylla/sd_noBias_1e-06_0_1e-06_0_all_all_none_all_maxnet_none_equalWeights.tif",NA,NA,48,20000,73,0.985,0.11,0,NA,0.564,0.985,0.564,0.98,2.739,0,0,0.001,0.006,0,NA,0.025,0.002,0.025,0.002,12,20000,73,0.901,0.037,0,0.88,0.174,0.901,0.174,0.858,2.739,0,0,0.049,0.009,0,0.119,0.041,0.049,0.041,0.102,NA,NA,NA,7.21702336703324e-06,1,0.868,0.896,0.868,0.132,0.104,0.005,0.764,2.89013327379918e-06,9.12171477302757e-05,0.0237045257366584,0.0418152744277163,0.023710140821551,0.023710140821551,0.0418152744277163,0.00196938627833483,0.0489303809635407,3.71994466950841e-06,1,0.831,0.913,0.831,0.169,0.087,0.004,0.743,2.59903344807158e-06,9.12171477302757e-05,0.042155614719324,0.0230626664510988,0.0421584484745084,0.0421584484745084,0.0230626664510988,0.00210648778947285,0.0630462982218367,7.12012630669027e-05,0.00010247074739778,0,0,0,0,0,0,0,0.0233103966498339,0.812805474095797,0.072823711813305,0.960899315738025,0.177821006939773,0.995112414467253,0.976689603350166,0.187194525904203,0.978592597376892
"Dendrocnide_photinophylla","targetBG",1e-06,0,1e-06,0,"all","all","none","all","maxnet","none","equalWeights",NA,NA,NA,"targetBG_1e-06_0_1e-06_0_all_all_none_all_maxnet_none_equalWeights","D:/Documents_2/SD_work/Aus_BIEN4_test/BIEN_v1/Aus_demo_180412_outputs/Maxent/Dendrocnide_photinophylla/mean_targetBG_1e-06_0_1e-06_0_all_all_none_all_maxnet_none_equalWeights.tif","D:/Documents_2/SD_work/Aus_BIEN4_test/BIEN_v1/Aus_demo_180412_outputs/MaxentSD/Dendrocnide_photinophylla/sd_targetBG_1e-06_0_1e-06_0_all_all_none_all_maxnet_none_equalWeights.tif",NA,NA,48,20000,73,0.634,0.015,0,NA,0.655,0.632,0.655,0.831,2.739,0,0,0.269,0.043,0,NA,0.019,0.267,0.019,0.058,12,20000,73,0.315,-0.014,0.196,-0.258,0.148,0.318,0.148,0.744,2.739,0,0,0.192,0.019,0.248,0.556,0.018,0.191,0.018,0.131,NA,NA,NA,5.37341658730477e-06,1,0.33,0.725,0.33,0.67,0.275,0,0.054,5.26978455054997e-06,9.12171477302757e-05,0.234102571873123,0.225596638605304,0.234211627474907,0.234211627474907,0.225596638605304,0.000324994712025708,0.19359016974121,9.36252567810608e-07,1,0.152,0.913,0.151,0.849,0.087,0,0.064,1.05622381223119e-06,9.12171477302757e-05,0.180965514753087,0.0230626664510988,0.180993699399239,0.180993699399239,0.0230626664510988,0.000291626873445484,0.19606077452356,1.86437423315168e-05,1.70306204342767e-05,-0.351,-0.586,-1.138,-0.114,-0.026,-0.583,-0.026,0.810848551518123,0.829423264907136,0.902193756116188,0.93841642228739,NA,NA,0.189151448481877,0.170576735092864,NA
