"x","y"
1330140,-3759205
1300140,-4089205
1340140,-3669205
1350140,-3569205
1320140,-3889205
1460140,-2679205
1330140,-3899205
1340140,-3809205
1360140,-3579205
1460140,-2729205
1370140,-3559205
1470140,-2649205
1370140,-3539205
1380140,-3529205
1380140,-3569205
1340140,-3939205
1390140,-3579205
1490140,-2699205
1410140,-3389205
1350140,-3959205
1360140,-3889205
1360140,-3919205
1380140,-3729205
1400140,-3569205
1420140,-3409205
1410140,-3489205
1360140,-3959205
1410140,-3499205
1380140,-3739205
1510140,-2699205
1360140,-3939205
1370140,-3859205
1370140,-3839205
1430140,-3419205
1420140,-3479205
1390140,-3779205
1410140,-3549205
1420140,-3529205
1430140,-3469205
1400140,-3689205
1440140,-3419205
1370140,-3989205
1440140,-3449205
1380140,-3929205
1380140,-3939205
1380140,-3989205
1440140,-3499205
1410140,-3789205
1510140,-2979205
1450140,-3459205
1510140,-2969205
1430140,-3679205
1460140,-3459205
1460140,-3419205
1460140,-3449205
1450140,-3489205
1370140,-4209205
1370140,-4179205
1370140,-4169205
1520140,-2979205
1520140,-2999205
1400140,-3979205
1380140,-4179205
1460140,-3509205
1480140,-3409205
1480140,-3439205
1380140,-4199205
1480140,-3429205
1490140,-3389205
1430140,-3879205
1420140,-3939205
1470140,-3609205
1480140,-3489205
1450140,-3739205
1440140,-3879205
1500140,-3399205
1410140,-4139205
1420140,-4019205
1470140,-3629205
1560140,-2959205
1410140,-4129205
1410140,-4189205
1480140,-3589205
1410140,-4169205
1440140,-3959205
1590140,-2809205
1500140,-3509205
1460140,-3859205
1420140,-4189205
1480140,-3669205
1450140,-3909205
1520140,-3389205
1490140,-3619205
1580140,-2959205
1500140,-3619205
1460140,-3929205
1490140,-3689205
1500140,-3609205
1490140,-3729205
1580140,-3019205
1490140,-3749205
1580140,-2989205
1540140,-3379205
1500140,-3679205
1470140,-3889205
1500140,-3669205
1480140,-3879205
1480140,-3819205
1480140,-3839205
1490140,-3779205
1500140,-3729205
1500140,-3709205
1590140,-2999205
1470140,-3939205
1470140,-3959205
1500140,-3779205
1540140,-3419205
1500140,-3759205
1480140,-3929205
1520140,-3639205
1510140,-3739205
1590140,-3129205
1620140,-2879205
1600140,-3039205
1490140,-3909205
