"order","family","genus","species","growth_form"
"Malvales","Malvaceae","Abutilon","Abutilon_sp._Cape_Range_(A.S.George_1312)",NA
"Malvales","Malvaceae","Abutilon","Abutilon_sp._Dioicum_(A.A.Mitchell_PRP_1618)",NA
"Malvales","Malvaceae","Abutilon","Abutilon_sp._Hamelin_(A.M.Ashby_2196)",NA
"Malvales","Malvaceae","Abutilon","Abutilon_sp._Mataranka_(R.M.Barker_877)","shrub"
"Malvales","Malvaceae","Abutilon","Abutilon_sp._Pilbara_(W.R.Barker_2025)",NA
"Malvales","Malvaceae","Abutilon","Abutilon_sp._Pritzelianum_(S._van_Leeuwen_5095)",NA
"Malvales","Malvaceae","Abutilon","Abutilon_sp._Quobba_(H.Demarz_3858)",NA
"Malvales","Malvaceae","Abutilon","Abutilon_sp._Warburton_(A.S.George_8164)",NA
"Malvales","Malvaceae","Abutilon","Abutilon_subviscosum","shrub"
"Malvales","Malvaceae","Abutilon","Abutilon_tubulosum","shrub"
"Malvales","Malvaceae","Abutilon","Abutilon_tubulosum_var._tubulosum",NA
"Fabales","Fabaceae","Acacia","Acacia_abbatiana","shrub"
"Fabales","Fabaceae","Acacia","Acacia_abbreviata","shrub"
"Fabales","Fabaceae","Acacia","Acacia_abrupta","shrub"
"Fabales","Fabaceae","Acacia","Acacia_acanthaster","shrub"
"Fabales","Fabaceae","Acacia","Acacia_acanthoclada","shrub tree"
"Fabales","Fabaceae","Acacia","Acacia_acanthoclada_subsp._acanthoclada",NA
"Fabales","Fabaceae","Acacia","Acacia_acanthoclada_subsp._glaucescens",NA
"Fabales","Fabaceae","Acacia","Acacia_acellerata","shrub"
"Fabales","Fabaceae","Acacia","Acacia_acinacea","shrub"
"Fabales","Fabaceae","Acacia","Acacia_aciphylla","shrub"
"Fabales","Fabaceae","Acacia","Acacia_acoma","shrub"
"Fabales","Fabaceae","Acacia","Acacia_acradenia","shrub"
"Fabales","Fabaceae","Acacia","Acacia_acrionastes","shrub tree"
"Fabales","Fabaceae","Acacia","Acacia_acuaria","shrub"
"Fabales","Fabaceae","Acacia","Acacia_aculeatissima","shrub"
