"x","y"
-1499860,-3749205
-1479860,-3739205
-1479860,-3729205
-1449860,-3799205
-1459860,-3629205
-1359860,-3879205
-1359860,-3769205
-1359860,-3739205
-1359860,-3729205
-1339860,-3769205
-1329860,-3819205
-1319860,-3819205
-1319860,-3789205
-1319860,-3759205
-1309860,-3849205
-1289860,-3829205
-1279860,-3899205
-1289860,-3849205
-1279860,-3839205
-1249860,-3789205
-1239860,-3729205
-1229860,-3809205
-1239860,-3769205
-1229860,-3789205
-1219860,-3819205
-1219860,-3769205
-1209860,-3799205
-1199860,-3769205
-1199860,-3779205
-1219860,-3499205
-1199860,-3689205
-1169860,-3809205
-1149860,-3799205
-1179860,-3459205
-1159860,-3699205
-1159860,-3639205
-1159860,-3629205
-1169860,-3499205
-1139860,-3719205
-1129860,-3739205
-1129860,-3679205
-1119860,-3719205
-1099860,-3699205
-1099860,-3749205
-1089860,-3729205
-1079860,-3719205
-1059860,-3709205
-1029860,-3739205
-1029860,-3689205
-1019860,-3729205
-1019860,-3709205
-1019860,-3679205
-1009860,-3669205
-999860,-3719205
-999860,-3739205
-1039860,-3019205
-979860,-3599205
-939860,-3719205
-939860,-3679205
-949860,-3469205
-909860,-3729205
-899860,-3739205
-839860,-3639205
-829860,-3709205
-819860,-3709205
-809860,-3739205
-819860,-3569205
-809860,-3669205
-799860,-3659205
-799860,-3629205
-789860,-3679205
-779860,-3679205
-699860,-3529205
-649860,-3589205
-639860,-3579205
-609860,-3559205
-599860,-3559205
-559860,-3519205
-549860,-3509205
-529860,-3519205
30140,-3479205
90140,-3489205
100140,-3489205
130140,-3449205
170140,-3459205
200140,-3579205
220140,-3619205
240140,-3609205
250140,-3509205
250140,-3569205
250140,-3589205
260140,-3609205
280140,-3549205
280140,-3629205
290140,-3659205
290140,-3679205
300140,-3589205
300140,-3639205
310140,-3539205
300140,-3769205
310140,-3559205
310140,-3609205
310140,-3709205
320140,-3549205
310140,-3739205
320140,-3679205
320140,-3669205
320140,-3639205
320140,-3749205
320140,-3609205
320140,-3579205
320140,-3759205
330140,-3779205
330140,-3709205
340140,-3679205
340140,-3779205
340140,-3629205
340140,-3759205
340140,-3589205
350140,-3339205
340140,-3799205
340140,-3749205
350140,-3669205
350140,-3599205
350140,-3559205
360140,-3659205
350140,-3819205
360140,-3599205
360140,-3689205
360140,-3649205
360140,-3589205
360140,-3729205
360140,-3619205
360140,-3819205
360140,-3809205
360140,-3709205
360140,-3789205
380140,-3619205
380140,-3689205
380140,-3749205
380140,-3759205
380140,-3709205
390140,-3609205
390140,-3659205
380140,-3829205
390140,-3729205
390140,-3649205
400140,-3629205
400140,-3659205
400140,-3639205
410140,-3679205
420140,-3659205
420140,-3679205
410140,-3929205
420140,-3619205
410140,-3909205
420140,-3929205
420140,-3909205
420140,-3949205
440140,-3639205
440140,-3659205
440140,-3679205
440140,-3859205
440140,-3919205
440140,-3849205
440140,-3939205
450140,-3619205
450140,-3909205
450140,-3829205
460140,-3859205
460140,-3819205
460140,-3939205
460140,-3849205
470140,-3619205
460140,-3929205
460140,-3909205
480140,-3649205
480140,-3839205
480140,-3899205
480140,-3919205
490140,-3939205
490140,-3829205
500140,-3919205
500140,-3779205
500140,-3949205
510140,-3749205
500140,-3909205
510140,-3829205
520140,-3819205
520140,-3809205
520140,-3929205
530140,-3789205
540140,-3799205
550140,-3579205
540140,-3919205
550140,-3599205
560140,-3539205
560140,-3509205
560140,-3589205
560140,-3529205
570140,-3619205
570140,-3609205
560140,-3709205
560140,-3889205
580140,-3589205
560140,-3909205
580140,-3639205
600140,-3339205
600140,-3489205
580140,-3899205
580140,-3889205
590140,-3869205
610140,-3459205
590140,-3849205
600140,-3609205
620140,-3429205
620140,-3449205
600140,-3859205
600140,-3849205
600140,-3829205
620140,-3349205
620140,-3389205
620140,-3459205
610140,-3719205
610140,-3669205
600140,-3879205
610140,-3759205
640140,-3389205
610140,-3809205
620140,-3769205
620140,-3819205
620140,-3809205
620140,-3839205
620140,-3869205
640140,-3479205
620140,-3889205
640140,-3369205
620140,-3789205
650140,-3339205
620140,-3899205
650140,-3429205
640140,-3789205
640140,-3729205
640140,-3809205
660140,-3339205
640140,-3859205
640140,-3709205
660140,-3489205
670140,-3329205
660140,-3499205
650140,-3879205
650140,-3849205
680140,-3329205
680140,-3339205
660140,-3849205
660140,-3869205
660140,-3829205
660140,-3899205
710140,-3289205
680140,-3919205
680140,-3899205
680140,-3849205
690140,-3889205
690140,-3809205
680140,-4059205
690140,-3969205
700140,-3969205
700140,-3939205
700140,-3919205
710140,-3909205
700140,-3999205
700140,-4049205
700140,-4029205
700140,-4069205
700140,-4079205
720140,-3889205
710140,-4099205
720140,-3979205
720140,-3939205
720140,-4009205
720140,-3959205
730140,-3849205
720140,-4049205
740140,-3899205
740140,-3949205
740140,-4009205
750140,-3979205
740140,-4119205
740140,-4059205
750140,-4019205
740140,-4109205
750140,-3969205
760140,-3849205
750140,-4039205
750140,-4089205
760140,-3919205
760140,-4039205
760140,-3959205
760140,-4059205
760140,-4029205
770140,-3899205
760140,-4119205
760140,-4139205
780140,-3839205
770140,-3999205
760140,-4089205
780140,-3909205
770140,-3979205
770140,-4099205
780140,-4039205
780140,-4079205
780140,-4029205
780140,-4069205
780140,-4009205
790140,-3959205
790140,-3989205
790140,-3919205
790140,-3949205
800140,-3849205
780140,-4129205
790140,-4109205
800140,-3959205
800140,-3919205
800140,-3909205
790140,-4169205
800140,-4019205
800140,-3999205
800140,-3989205
810140,-3939205
790140,-4139205
800140,-4119205
800140,-4039205
800140,-4189205
820140,-4099205
830140,-3969205
830140,-3909205
830140,-3879205
820140,-4149205
820140,-4159205
830140,-4029205
830140,-4009205
840140,-3909205
830140,-4079205
830140,-4039205
840140,-3929205
830140,-4179205
850140,-3939205
840140,-4029205
850140,-3969205
860140,-4029205
870140,-3959205
870140,-4039205
870140,-4059205
880140,-4009205
880140,-4039205
880140,-4019205
890140,-3919205
890140,-3959205
900140,-3909205
900140,-3829205
900140,-3929205
900140,-4019205
900140,-4039205
890140,-4099205
900140,-4089205
900140,-4099205
920140,-3889205
920140,-3929205
910140,-4119205
920140,-4099205
920140,-4089205
920140,-4119205
940140,-3869205
940140,-3829205
940140,-3839205
930140,-4069205
950140,-3919205
940140,-4069205
940140,-4079205
940140,-4099205
940140,-4119205
960140,-4089205
980140,-3829205
970140,-4119205
980140,-4069205
1010140,-4049205
1020140,-4129205
1030140,-4029205
1030140,-4099205
1040140,-4019205
1040140,-4099205
1030140,-4249205
1050140,-4069205
1050140,-4049205
1060140,-4059205
1060140,-4049205
1030140,-4419205
1030140,-4389205
1040140,-4389205
1050140,-4419205
1090140,-4049205
1080140,-4159205
1070140,-4249205
1090140,-4059205
1080140,-4189205
1100140,-4059205
1100140,-4049205
1130140,-3989205
1230140,-3109205
1270140,-2749205
1270140,-2759205
1150140,-4009205
1260140,-2929205
1270140,-2849205
1280140,-2819205
1160140,-3979205
1110140,-4539205
1280140,-2879205
1170140,-4069205
1180140,-3969205
1130140,-4529205
1400140,-1929205
1310140,-2869205
1300140,-3029205
1200140,-4089205
1190140,-4189205
1160140,-4539205
1160140,-4529205
1320140,-3049205
1220140,-4089205
1380140,-2619205
1210140,-4139205
1240140,-4079205
1280140,-3769205
1270140,-3909205
1280140,-3809205
1250140,-4109205
1250140,-4119205
1270140,-4049205
1270140,-4029205
1270140,-4079205
1270140,-4069205
1280140,-4039205
1280140,-4029205
1300140,-3799205
1260140,-4179205
1310140,-3769205
1270140,-4109205
1280140,-4089205
1250140,-4339205
1320140,-3739205
1280140,-4099205
1260140,-4339205
1470140,-2669205
1320140,-4039205
1340140,-3869205
1340140,-3799205
1290140,-4289205
1340140,-3839205
1300140,-4199205
1310140,-4089205
1350140,-3819205
1320140,-4089205
1360140,-3779205
1300140,-4269205
1270140,-4559205
1490140,-2699205
1320140,-4209205
1490140,-2779205
1380140,-3789205
1360140,-3939205
1360140,-3999205
1370140,-3929205
1380140,-3799205
1500140,-2779205
1290140,-4599205
1340140,-4209205
1510140,-2769205
1290140,-4619205
1270140,-4819205
1520140,-2769205
1400140,-3779205
1520140,-2779205
1390140,-3889205
1380140,-4009205
1400140,-3839205
1390140,-3949205
1350140,-4259205
1360140,-4249205
1390140,-4019205
1300140,-4759205
1420140,-3819205
1450140,-3629205
1450140,-3639205
1380140,-4239205
1440140,-3759205
1410140,-4019205
1420140,-3979205
1430140,-3939205
1420140,-4029205
1420140,-4039205
1320140,-4809205
1400140,-4169205
1400140,-4179205
1330140,-4779205
1340140,-4709205
1450140,-3889205
1340140,-4779205
1410140,-4199205
1370140,-4549205
1340140,-4809205
1470140,-3789205
1350140,-4759205
1380140,-4499205
1390140,-4469205
1650140,-2449205
1610140,-2709205
1480140,-3789205
1390140,-4559205
1390140,-4549205
1440140,-4189205
1390140,-4609205
1400140,-4509205
1450140,-4139205
1390140,-4619205
1380140,-4699205
1370140,-4709205
1380140,-4689205
1380140,-4719205
1510140,-3669205
1410140,-4459205
1510140,-3719205
1460140,-4149205
1480140,-4009205
1510140,-3819205
1530140,-3609205
1540140,-3569205
1510140,-3789205
1470140,-4109205
1530140,-3689205
1540140,-3589205
1500140,-3919205
1660140,-2699205
1520140,-3829205
1550140,-3609205
1660140,-2749205
1670140,-2669205
1560140,-3559205
1560140,-3599205
1570140,-3549205
1560140,-3589205
1520140,-3959205
1690140,-2719205
1580140,-3549205
1600140,-3409205
1530140,-3979205
1580140,-3599205
1540140,-3909205
1540140,-3949205
1560140,-3749205
1580140,-3589205
1600140,-3429205
1600140,-3509205
1540140,-3979205
1600140,-3519205
1610140,-3439205
1570140,-3769205
1710140,-2719205
1540140,-3959205
1550140,-3889205
1560140,-3869205
1570140,-3799205
1600140,-3579205
1610140,-3549205
1590140,-3709205
1630140,-3439205
1550140,-4009205
1620140,-3479205
1560140,-3949205
1630140,-3459205
1560140,-3969205
1560140,-4009205
1630140,-3529205
1590140,-3809205
1640140,-3479205
1700140,-2999205
1610140,-3709205
1650140,-3439205
1640140,-3509205
1650140,-3469205
1550140,-4229205
1550140,-4199205
